TEAM1_WIN,AST%_TEAM1,LAST_TEAM1,FT%_TEAM1,EXP_TEAM1,BARTHAG_TEAM1,WAB_TEAM1,CONSISTENCY TR RATING_TEAM1,SEED_TEAM1,BADJ EM_TEAM1,TR RANK_TEAM1,AST%_TEAM2,LAST_TEAM2,FT%_TEAM2,EXP_TEAM2,BARTHAG_TEAM2,WAB_TEAM2,CONSISTENCY TR RATING_TEAM2,SEED_TEAM2,BADJ EM_TEAM2,TR RANK_TEAM2
1,51.6,136.0,68.5,1.895,0.604,-5.6,10.4,15.0,3.5,136.0,53.0,3.0,73.0,1.856,0.939,6.9,10.0,2.0,25.2,4.0
0,50.3,157.0,76.6,1.581,0.427,-8.4,11.0,16.0,-2.7,157.0,65.4,2.0,73.8,1.191,0.943,8.8,10.6,1.0,25.6,2.0
0,39.9,30.0,75.6,2.526,0.826,2.1,10.0,8.0,13.5,29.0,53.9,48.0,66.8,1.734,0.841,2.9,9.7,9.0,14.5,48.0
0,44.2,43.0,73.9,2.645,0.807,-0.1,8.7,12.0,13.0,43.0,59.5,4.0,66.9,2.179,0.96,6.2,10.6,5.0,28.2,3.0
1,57.7,15.0,70.8,2.241,0.908,4.2,12.0,4.0,20.5,15.0,46.6,91.0,76.6,2.605,0.751,0.2,9.9,13.0,9.9,91.0
1,52.4,21.0,74.6,1.413,0.868,0.2,13.0,11.0,17.2,21.0,53.5,53.0,77.4,2.004,0.818,4.3,11.4,6.0,13.8,53.0
1,62.3,10.0,71.2,1.362,0.938,8.0,10.1,3.0,23.2,9.0,52.7,163.0,72.4,2.05,0.582,-2.3,10.9,14.0,3.0,163.0
1,49.0,20.0,76.0,1.936,0.857,1.4,9.8,7.0,16.8,20.0,56.8,32.0,71.8,2.525,0.849,1.8,10.7,10.0,15.2,32.0
0,48.1,154.0,74.2,2.079,0.597,-5.5,8.7,15.0,3.6,154.0,49.0,11.0,82.3,2.392,0.934,7.4,10.4,2.0,24.1,12.0
1,53.9,5.0,72.4,2.082,0.951,10.4,9.7,1.0,27.3,5.0,42.3,191.0,67.1,2.813,0.45,-6.8,10.4,16.0,-1.7,191.0
1,51.1,54.0,72.9,1.319,0.801,1.9,12.8,9.0,11.9,54.0,49.7,38.0,69.5,2.481,0.863,2.6,9.5,8.0,15.0,38.0
1,57.3,80.0,72.5,2.623,0.716,-1.6,7.5,12.0,8.3,80.0,53.8,13.0,74.9,1.681,0.922,4.6,10.7,5.0,23.4,11.0
1,54.0,40.0,72.6,2.733,0.835,6.0,10.6,4.0,14.7,40.0,47.3,76.0,76.0,2.058,0.761,1.5,10.4,13.0,11.0,76.0
1,60.1,68.0,68.4,2.195,0.849,2.8,12.3,11.0,14.4,68.0,48.7,18.0,73.2,1.196,0.891,2.3,9.2,6.0,17.7,18.0
0,61.7,109.0,69.3,2.413,0.576,-6.1,9.0,14.0,2.8,109.0,44.0,33.0,74.2,1.462,0.863,6.5,9.5,3.0,16.3,33.0
